adid,bkid
102,2060
806,2062
1016,2066
730,2067
555,2068
101,2071
1105,2076
229,2081
102,2084
306,2087
269,2091
682,2092
566,2093
167,2095
892,2096
796,2097
431,2098
51,2100
101,2103
431,2106
549,2107
49,2109
261,2111
143,2112
682,2113
623,2116
801,2117
1108,2120
64,2125
1038,2126
880,2128
234,2134
727,2135
958,2136
153,2137
433,2138
127,2141
141,2142
359,2143
117,2144
379,2147
1018,2148
160,2150
480,2156
187,2158
174,2160
501,2162
390,2165
432,2167
900,2168
193,2173
1036,2174
1112,2178
584,2179
806,2182
611,5455
430,2191
833,2201
498,2203
267,2204
837,2207
880,2209
880,2211
502,2213
765,2214
549,2216
338,2217
167,2220
226,2221
304,2223
480,2226
169,2227
270,351
189,364
228,1397
23,381
283,385
164,391
279,398
136,403
529,1399
716,6065
47,434
100,6068
66,469
69,476
24,606
80,634
440,753
1037,769
361,780
786,781
478,784
783,789
1056,795
1056,796
425,1313
322,858
1034,878
362,887
578,902
1037,906
337,931
371,936
609,940
622,950
796,961
479,983
413,991
48,1006
627,1011
606,1013
1073,1019
794,1022
617,1058
906,1059
690,1100
381,1105
302,1207
1082,1223
41,1320
381,1350
212,1361
32,1383
1070,1400
169,1407
184,1410
1011,1421
355,1424
291,1429
164,1430
166,6069
102,1441
110,1495
240,1499
292,1527
1036,1531
1035,1535
278,1540
730,1552
153,1553
381,1554
690,1559
504,1577
409,1581
28,1585
254,1628
929,1644
461,1653
152,1692
279,1703
452,1725
398,1742
449,1764
666,1811
834,1837
884,1847
788,1856
686,1870
879,1875
445,1877
774,1913
680,1927
733,1930
327,1931
610,2022
492,2027
810,2043
690,2056
167,2070
271,2074
553,2077
1101,2079
309,2123
903,2130
32,2154
199,2161
152,2177
793,2189
585,2194
880,2208
229,2225
735,2236
1020,2241
690,2242
165,2243
608,2247
561,2251
195,2253
237,2254
527,2256
166,2258
112,2261
193,2266
184,2268
499,2271
782,2275
110,2276
764,2277
307,2280
1114,2281
563,2287
527,2289
187,2290
275,2293
903,2295
104,2296
268,2298
569,2300
111,2301
848,2304
660,2306
714,2308
551,2310
1091,2313
375,2314
122,2317
159,2319
1033,2347
46,2349
401,2350
1034,2354
138,2356
560,2363
304,2366
1036,2374
965,2378
171,2382
556,2384
30,2387
98,2389
98,2391
1120,2392
127,2393
480,2394
127,2396
551,2397
1002,2401
413,2402
479,2403
978,2404
26,2405
920,2406
141,2408
143,2411
39,2416
338,2417
599,2419
1007,2420
98,2423
289,2424
291,2425
1020,2429
1121,2434
900,2435
415,2436
305,2437
378,2438
152,2441
1124,2442
1016,663
571,666
658,6151
305,675
319,682
904,688
556,696
517,697
389,2546
438,709
362,741
440,742
585,744
1034,790
434,824
428,828
992,829
786,830
796,946
621,948
621,1007
607,1015
616,1024
398,1034
621,1042
733,1051
794,1066
1074,1072
958,1079
356,1081
381,1089
690,1092
584,1097
455,1134
877,1137
877,1146
452,1156
516,1158
339,1189
903,1198
987,1203
514,1210
506,1252
1067,1265
519,1268
316,1299
903,1306
1068,1310
122,1325
588,1335
102,1337
98,1346
260,1358
157,1365
290,1373
354,1385
609,1490
141,1537
167,1561
207,1613
290,1617
610,1618
111,3930
85,1632
160,1649
127,1652
161,1655
184,1662
449,1766
720,1820
835,1842
786,1846
667,1866
319,1910
179,1943
873,1948
741,1950
661,2000
736,2048
96,2058
773,2063
587,2086
806,2090
207,2166
142,2169
229,2171
728,2190
106,2192
229,2199
167,2205
478,2230
153,2252
40,2257
581,2297
28,2305
1116,2325
690,2328
291,2369
435,2372
52,2380
1110,2415
428,2428
570,2443
27,2446
763,2448
111,2451
135,2452
374,2453
993,2455
228,2457
789,2458
623,2459
122,2460
623,2462
707,2463
199,2466
373,2467
243,2468
549,2470
618,2471
141,2477
41,2479
13,2482
329,2483
476,2485
702,2486
404,2487
670,2488
993,2489
617,2490
143,2491
620,2492
993,2496
395,2497
91,2499
131,2501
749,2502
373,2506
217,2509
226,2510
789,2511
1018,2512
383,2516
623,2517
682,2521
195,2522
85,2524
11,2526
109,2527
227,2528
504,4587
709,2530
1110,2532
101,2540
260,6070
1074,2542
236,2543
220,2547
672,2558
487,2568
127,2570
1128,2580
24,2585
1004,2589
411,2592
788,2603
44,2605
19,2608
389,2613
762,2618
391,2620
375,2627
80,2631
28,2635
802,2638
207,2642
236,2646
100,2648
229,2652
897,2654
609,2656
1005,2657
775,2658
390,2662
416,2668
415,2669
609,2670
623,2672
376,970
371,973
610,974
404,977
588,981
735,984
373,990
7,992
773,995
375,1009
665,1103
1061,1180
419,1339
256,1422
768,1451
26,1452
757,1469
29,1472
259,1481
561,1492
375,1493
590,1513
206,1521
256,1567
301,1568
901,1587
280,1694
892,1702
34,1707
164,1711
48,1713
314,1721
449,1868
1002,1871
531,1934
283,1936
268,1956
164,1997
893,2012
164,2013
516,2072
1061,2078
282,2080
357,2082
161,2085
690,2110
1058,2119
125,2124
117,2139
1109,2146
270,2153
136,2157
143,2197
763,2222
93,2224
682,2235
793,2286
133,2292
305,2324
690,2327
870,2358
306,2383
499,2410
193,2439
234,2469
670,2515
682,2519
682,2555
1018,2559
117,2583
406,2596
942,2602
406,2607
860,2639
406,2645
67,2655
371,2675
1004,2682
722,2683
689,2690
690,2691
961,2692
106,2694
725,2696
720,2697
39,2707
240,2709
239,2710
710,2713
669,2714
787,2716
704,2718
602,2721
98,2724
102,2729
411,2732
391,2734
122,2735
127,2738
207,2739
67,2746
66,2747
884,2751
797,2752
217,2756
774,2759
391,2762
835,2772
375,2775
31,2779
1110,2780
40,2783
747,2789
242,2791
106,2792
897,2793
1007,2795
256,2804
234,2810
1130,2813
